資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200807,00652,14,0,0,0.00
20200807,00652,15,1,2307000,6.22
20200807,00652,16,0,0,0.00
20200807,00652,17,5780,37035000,100.00
20200807,00653L,1,20,5110,0.00
20200807,00653L,2,2128,5429281,3.75
20200807,00653L,3,695,5812388,4.02
20200807,00653L,4,270,3553000,2.46
20200807,00653L,5,232,4381000,3.03
20200807,00653L,6,240,6334427,4.38
20200807,00653L,7,139,5056100,3.50
20200807,00653L,8,92,4345000,3.00
20200807,00653L,9,198,14676503,10.16
20200807,00653L,10,92,13429000,9.29
20200807,00653L,11,41,11458000,7.93
20200807,00653L,12,15,7296000,5.05
20200807,00653L,13,3,2210000,1.53
20200807,00653L,14,8,7650000,5.29
20200807,00653L,15,16,52767191,36.54
20200807,00653L,16,0,0,0.00
20200807,00653L,17,4189,144403000,100.00
20200807,00654R,1,5,329,0.00
20200807,00654R,2,262,663301,6.33
20200807,00654R,3,90,733000,7.00
20200807,00654R,4,28,370370,3.53
20200807,00654R,5,36,678000,6.47
20200807,00654R,6,42,1128000,10.77
20200807,00654R,7,13,464000,4.43
20200807,00654R,8,15,700000,6.68
20200807,00654R,9,20,1422000,13.58
20200807,00654R,10,3,470000,4.49
20200807,00654R,11,3,884000,8.44
20200807,00654R,12,1,564000,5.38
20200807,00654R,13,2,1376000,13.14
20200807,00654R,14,0,0,0.00
20200807,00654R,15,1,1013000,9.67
20200807,00654R,16,0,0,0.00
20200807,00654R,17,521,10466000,100.00
20200807,00655L,1,56,9374,0.00
20200807,00655L,2,1878,4711196,3.75
20200807,00655L,3,644,5389026,4.29
20200807,00655L,4,250,3300000,2.63
20200807,00655L,5,210,3980000,3.17
20200807,00655L,6,223,5925000,4.72
20200807,00655L,7,132,4789000,3.81
20200807,00655L,8,86,4084000,3.25
20200807,00655L,9,178,13136000,10.47
20200807,00655L,10,77,10693350,8.52
20200807,00655L,11,31,8330000,6.63
20200807,00655L,12,16,7606000,6.06
20200807,00655L,13,5,3585000,2.85
20200807,00655L,14,3,2590000,2.06
20200807,00655L,15,13,47330054,37.72
20200807,00655L,16,0,0,0.00
20200807,00655L,17,3802,125458000,100.00
20200807,00656R,1,0,0,0.00
20200807,00656R,2,367,945000,3.45
20200807,00656R,3,126,1079000,3.94
20200807,00656R,4,42,566000,2.06
20200807,00656R,5,59,1133000,4.14
20200807,00656R,6,41,1060000,3.87
20200807,00656R,7,19,681000,2.48
20200807,00656R,8,15,725000,2.65
20200807,00656R,9,35,2729000,9.97
20200807,00656R,10,20,2724000,9.95
20200807,00656R,11,9,2371000,8.66
20200807,00656R,12,3,1378000,5.03
20200807,00656R,13,0,0,0.00
