證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"3380","明泰","2,637,350","72,329,518","27.30","27.75","26.90","27.60","+0.20","1,454"
"3383","新世紀","170,084","684,866","3.96","4.06","3.91","4.05","+0.06","76"
"3406","玉晶光","9,497,352","6,350,967,064","660.00","678.00","655.00","677.00","+27.00","7,582"
"3413","京鼎","2,721,410","548,505,832","198.50","204.50","196.50","204.50","+7.50","2,136"
"3416","融程電","192,400","13,099,679","68.60","69.00","67.00","68.40","-0.60","122"
"3419","譁裕","433,401","6,078,022","14.10","14.15","13.90","14.00","+0.15","189"
"3432","台端","41,300","515,030","12.50","12.55","12.40","12.50"," 0.00","20"
"3437","榮創","1,678,600","37,020,558","21.70","22.35","21.60","22.35","+0.65","874"
"3443","創意","1,806,614","534,972,928","290.00","301.50","288.00","301.50","+9.50","1,563"
"3450","聯鈞","7,989,964","581,741,478","74.00","74.50","72.00","72.30","-2.90","5,640"
"3454","晶睿","130,896","9,657,790","73.00","74.90","72.90","74.10","+1.10","116"
"3481","群創","76,260,717","622,597,679","8.09","8.24","8.07","8.22","+0.14","15,005"
"3494","誠研","408,563","1,678,118","4.13","4.23","4.05","4.15"," 0.00","111"
"3501","維熹","63,300","2,894,815","45.70","45.80","45.65","45.80"," 0.00","49"
"3504","揚明光","261,000","15,712,500","59.80","60.60","59.50","60.50","+0.90","175"
"3515","華擎","7,365,473","1,337,870,319","175.50","186.00","173.00","182.50","+12.00","5,595"
"3518","柏騰","773,610","23,285,310","28.50","31.00","28.00","31.00","+2.80","404"
"3528","安馳","19,010","736,486","38.80","38.90","38.50","38.85"," 0.00","19"
"3530","晶相光","482,072","39,941,791","83.00","83.60","82.20","83.50","+0.30","385"
"3532","台勝科","1,058,160","125,101,617","120.00","120.00","117.00","118.50","-1.50","933"
"3533","嘉澤","650,170","275,539,600","418.00","427.00","418.00","424.00","+6.00","570"
"3535","晶彩科","387,001","7,159,968","18.35","18.70","18.30","18.50","+0.10","195"
"3536","誠創","19,226","63,445","3.30","3.30","3.30","3.30","-0.19","7"
"3543","州巧","234,149","3,976,997","17.10","17.10","16.85","17.05","+0.05","77"
"3545","敦泰","3,570,476","130,208,869","36.60","36.85","36.20","36.40","-0.45","1,991"
"3550","聯穎","3,418,162","50,186,842","14.75","15.35","13.90","14.20","-0.80","1,421"
"3557","嘉威","1,371,019","109,637,189","80.90","82.00","78.50","79.00","-2.80","1,004"
"3563","牧德","1,604,882","473,923,560","300.50","301.50","289.00","295.50","-10.00","1,328"
"3576","聯合再生","117,812,752","1,246,709,104","10.15","10.95","10.00","10.95","+0.99","25,964"
"3583","辛耘","453,000","25,432,900","56.10","56.60","55.60","56.30","+0.50","392"
"3588","通嘉","1,037,389","41,663,071","39.45","40.80","38.80","40.55","+1.50","758"
"3591","艾笛森","205,301","2,370,075","11.55","11.70","11.35","11.55","-0.15","93"
"3593","力銘","133,892","1,546,967","11.10","11.70","11.10","11.45","-0.25","58"
"3596","智易","2,468,502","210,129,360","84.80","86.00","83.80","86.00","+0.80","1,795"
"3605","宏致","2,362,492","67,815,842","28.70","29.05","28.35","28.65"," 0.00","1,213"
"3607","谷崧","134,001","1,601,062","11.85","12.10","11.85","11.90","+0.05","71"
"3617","碩天","86,085","6,759,888","78.50","79.10","78.20","78.50","-0.10","78"
"3622","洋華","1,563,600","39,003,297","25.15","25.80","24.10","24.50","-0.15","938"
"3645","達邁","18,732,148","1,047,545,245","54.10","57.90","53.50","56.00","+3.10","10,749"
"3653","健策","4,894,168","1,564,255,015","305.00","330.00","302.00","330.00","+29.00","3,836"
"3661","世芯-KY","5,009,263","3,205,704,158","631.00","663.00","612.00","661.00","+25.00","4,368"
"3665","貿聯-KY","6,651,949","1,449,960,397","217.00","221.50","214.50","217.50","+7.50","4,534"
"3669","圓展","4,151,008","360,882,844","86.00","93.00","82.00","93.00","+8.40","2,676"
"3673","TPK-KY","7,400,258","397,602,832","53.70","54.60","52.90","53.90","+0.90","4,585"
"3679","新至陞","923,403","85,139,176","89.50","94.40","88.80","92.30","+3.10","743"
"3682","亞太電","3,205,634","22,973,977","7.11","7.23","7.08","7.21","+0.09","830"
"3686","達能","6,288,244","64,277,199","10.20","10.30","9.85","10.30","+0.93","1,704"
"3694","海華","6,065,644","172,903,563","28.45","28.60","27.80","28.60","+2.60","1,835"
"3698","隆達","5,333,333","124,919,236","23.20","23.65","23.05","23.55","-0.10","2,275"
"3701","大眾控","6,999","90,680","12.95","13.00","12.95","13.00"," 0.00","15"
"3702","大聯大","2,018,836","81,634,577","40.25","40.60","40.15","40.55","+0.05","1,200"
"3702A","大聯大甲特","197,431","9,911,091","50.20","50.30","50.20","50.20"," 0.00","100"
"3703","欣陸","16,674,751","255,857,230","14.90","15.70","14.80","15.40","+0.70","4,291"
"3704","合勤控","5,814,550","108,318,410","18.10","18.90","17.95","18.75","+0.65","2,425"
"3705","永信","355,152","15,985,917","44.80","45.30","44.80","44.95"," 0.00","257"
"3706","神達","4,003,316","113,708,380","28.30","28.60","28.10","28.45","+0.20","2,174"
"3708","上緯投控","1,869,253","184,712,994","98.50","100.00","97.50","98.20","+0.60","1,453"
"3711","日月光投控","16,360,373","1,096,294,173","67.70","67.80","66.70","66.80","-1.20","9,420"
"3712","永崴投控","1,323,052","48,811,449","36.70","37.50","36.40","36.80","+0.10","819"
"4104","佳醫","338,278","19,281,219","56.50","57.50","56.30","57.30","+0.80","265"
"4106","雃博","744,278","25,268,466","33.40","34.45","33.40","33.90","+0.50","501"
"4108","懷特","1,155,621","33,535,193","28.15","29.65","28.15","29.30","+0.30","753"
"4119","旭富","559,371","69,218,818","123.00","125.00","122.50","123.50","+1.00","436"
"4133","亞諾法","512,921","38,870,769","74.50","77.00","74.50","76.40","+1.90","375"
"4137","麗豐-KY","129,371","26,918,168","206.00","209.50","206.00","208.00","+2.00","121"
"4141","龍燈-KY","164,700","2,110,690","12.60","13.00","12.60","12.85","+0.30","115"
"4142","國光生","20,715,458","1,331,224,662","63.20","65.60","62.10","64.80","+0.80","11,582"
"4144","康聯-KY","177,379","4,745,140","26.75","26.80","26.70","26.75","-0.05","90"
"4148","全宇生技-KY","88,018","3,163,700","35.25","36.60","35.20","36.15","+1.35","76"
"4155","訊映","263,302","7,087,604","26.95","27.00","26.85","27.00","+0.05","200"
"4164","承業醫","238,125","9,653,779","40.30","40.70","40.30","40.60","+0.20","150"
"4190","佐登-KY","77,000","5,737,100","73.10","75.30","73.00","75.20","+1.70","70"
"4306","炎洲","7,639,943","99,588,620","12.95","13.30","12.80","12.80","+0.45","2,349"
"4414","如興","9,895,769","124,306,241","12.50","12.85","12.05","12.70","+0.40","3,275"
"4426","利勤","114,782","3,598,080","31.20","31.60","31.00","31.50","+0.30","97"
"4438","廣越","291,007","36,971,441","128.00","128.50","124.50","128.00"," 0.00","164"
"4439","冠星-KY","30,000","4,109,000","136.50","137.50","136.50","136.50","+0.50","17"
"4526","東台","1,039,700","12,806,677","12.15","12.60","12.15","12.55","+0.30","356"
"4532","瑞智","3,668,680","74,133,600","19.75","20.40","19.70","20.05","+0.30","878"
"4536","拓凱","1,892,773","303,551,746","172.00","172.00","154.00","156.00","-14.50","1,491"
"4540","全球傳動","177,004","8,898,314","50.20","50.70","49.85","50.50","+0.30","125"
"4545","銘鈺","36,001","1,114,380","30.90","31.05","30.90","30.90"," 0.00","24"
"4551","智伸科","1,181,300","220,035,400","187.50","192.50","182.50","184.50","-3.50","1,001"
"4552","力達-KY","489,972","17,098,371","35.25","35.25","34.50","34.85","-0.65","357"
"4555","氣立","68,000","3,371,200","49.85","49.95","49.30","49.60","-0.25","52"
"4557","永新-KY","14,001","857,861","61.60","61.60","61.10","61.10"," 0.00","11"
"4560","強信-KY","257,018","10,342,047","40.40","40.90","39.90","40.10","-1.10","166"
"4562","穎漢","8,000","141,000","17.65","17.75","17.50","17.75","+0.15","8"
"4564","元翎","2,869,415","93,700,639","31.55","33.15","31.40","32.65","+0.95","1,161"
"4566","時碩工業","62,000","2,329,350","37.45","37.75","37.45","37.65","+0.20","43"
"4571","鈞興-KY","22,000","1,348,300","61.20","61.40","61.20","61.40","-0.10","14"
"4572","駐龍","22,000","1,741,300","79.40","79.80","78.50","79.20","+0.10","16"
